dsNome,nrCpfCnpj,sgEstado,dtAbert,dtValcad,cdSituac,dsSituac,nrCep,dsEnd,nrEnd,dsBairro,dsCidade,dsCompl,nrDDD,nrTel,nrDDDCel,nrCel,dsEmail,cdPess,cdAtvCl,cdAutscr,cdGrupo,cdPais,bensImoveis[0].idAcao,bensImoveis[0].cdPais,bensImoveis[0].nmImovel,bensImoveis[0].tpImovel,bensImoveis[0].nmEnd,bensImoveis[0].nrEnd,bensImoveis[0].nmBairro,bensImoveis[0].nmCidade,bensImoveis[0].nrCep,bensImoveis[0].sgEstado,dadosBancarios[0].idAcao,dadosBancarios[0].nrBanco,dadosBancarios[0].nrAgencia,dadosBancarios[0].nrConta,dadosBancarios[0].dvConta,dadosBancarios[0].idPrincipal,dadosBancarios[0].dtAbert,dadosPf.dtNasc,dadosPf.tpSexo,dadosPf.cdProf,dadosPf.tpDoc,dadosPf.nrDoc,dadosPf.sgEmissor,dadosPf.dtEmissao,dadosPf.sgEstadoNat,dadosPf.cdEstCivil,dadosPf.idUniao,dadosPf.nomeMae,dadosPf.nomePai,dadosPf.naturalidade,dadosPf.nomeCidadeNaturalidade,dadosPf.nacionalidade,dadosPf.idGrinst,dadosPf.nrDepend,dadosPf.idLe6515,dadosPf.cdPais,dadosPj.amFatMes,dadosPj.cdCapital,dadosPj.cdSetor,dadosPj.cdTribute,dadosPj.dtAberturaEmpresa,dadosPj.idConsti,dadosPj.idContAcio,dadosPj.nomeFantasia,dadosPj.qtFuncio,dadosProfissionais.cdProf,dadosProfissionais.dsCargo,dadosProfissionais.dtAdmis,dadosProfissionais.vlRendaBruta,dadosProfissionais.vlRendaLiquida,dadosProfissionais.cdPorte,dadosProfissionais.cdLoctb,dadosProfissionais.cdPais,dadosProfissionais.nrCep,dadosProfissionais.nmEnd,dadosProfissionais.nrEnd,dadosProfissionais.nmBairro,dadosProfissionais.nmCidade,dadosProfissionais.sgEstado,refPessoais[0].nome,refPessoais[0].nrDDDTel,refPessoais[0].nrTel
Fernanda Oliveira Costa,10150686501,PA,20140101,20260723,1,ATIVO,58731870,Rua das Acácias,101,Boa Vista,Belém,,27,23518829,34,936004894,fernanda.oliveira.co@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,341,9507,719348,1,S,19900101,19970912,M,2,1,420264768,SSP,20100101,PA,2,2,Mãe de Fernanda,,,,1,1,0,N,1,,,,,,,,,,2,MEDICO,20180101,15766.62,5585.38,5,1,1,94952265,Travessa dos Pioneiros,1193,Industrial,Belém,PA,Referência de Fernanda,27,26656592
Fernanda Oliveira Costa,71441501460,PA,20190101,20260723,1,ATIVO,61916612,Rua das Acácias,2063,Industrial,Belém,,51,36804184,64,940240979,fernanda.oliveira.co@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,1,3778,266068,8,S,19900101,19790122,F,6,1,255599451,SSP,20100101,PA,3,1,Mãe de Fernanda,,,,1,7,3,N,1,,,,,,,,,,6,ENGENHEIRO,20180101,5029.85,15023.81,1,1,1,31358980,Rua do Comércio,750,Boa Vista,Belém,PA,Referência de Fernanda,68,37469761
Ana Beatriz Souza,73935462212,BA,20120101,20260723,1,ATIVO,59132844,Travessa dos Pioneiros,794,Bela Vista,Salvador,,abc,35237131,98,985518693,ana.beatriz.souza@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,237,1119,973440,9,S,19900101,19780214,M,5,1,299196720,SSP,20100101,BA,1,1,Mãe de Ana,,,,1,5,2,N,1,,,,,,,,,,5,ENGENHEIRO,20180101,15441.66,11364.76,9,1,1,28879940,Alameda Santos,3753,Centro,Salvador,BA,Referência de Ana,98,28888063
Litoral Turismo e Eventos SA,92869057000140,CE,20140101,20260723,1,ATIVO,26944909,Alameda Santos,1833,Boa Vista,Fortaleza,,38,2808512449,79,963106572,litoral@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,104,5589,925683,5,S,19950101,,,,,,,,,,,,,,,,,,,,2552677,M,4,3,20140101,7,1,Litoral,123,,,,,,,,,,,,,,,,,
Aurora Serviços Digitais LTDA,82491891000190,PA,20040101,20260723,1,ATIVO,17001877,Travessa dos Pioneiros,2362,Jardim América,Belém,,78,3947559119,80,943072366,aurora@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,1,2533,345884,3,S,19950101,,,,,,,,,,,,,,,,,,,,764711,M,4,1,20040101,11,1,Aurora,158,,,,,,,,,,,,,,,,,
Rodrigo Barbosa Teixeira,96762187587,MG,20140101,20260723,1,ATIVO,43786284,Travessa dos Pioneiros,91,Vila Nova,Belo Horizonte,,36,37774252,74,913076472,rodrigo.barbosa.teix@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,1,3447,275661,4,S,19900101,19910527,F,2,1,914946294,SSP,20100101,MG,1,1,Mãe de Rodrigo,,,,1,1,1,N,1,,,,,,,,,,2,ANALISTA,20180101,12743.80,18956.05,3,1,1,36463382,Rua Sete de Setembro,3880,Bela Vista,Belo Horizonte,MG,Referência de Rodrigo,57,22249674
Larissa Menezes Cunha,59068428373,BA,20200101,20260723,1,ATIVO,18272501,Rua das Acácias,2323,Jardim América,Salvador,,66,31576831,70,906506574,larissa.menezes.cunh@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,237,2828,591067,8,S,19900101,19970226,M,medico,1,622482407,SSP,20100101,BA,5,2,Mãe de Larissa,,,,1,5,3,N,1,,,,,,,,,,6,ANALISTA,20180101,10731.47,19798.92,5,1,1,32341899,Avenida Brasil,3702,Bela Vista,Salvador,BA,Referência de Larissa,35,20896682
Aurora Serviços Digitais LTDA,65836392000179,PA,20050101,20260723,1,ATIVO,29760810,Rua do Comércio,1746,Boa Vista,Belém,,94,3471814156,32,984826517,aurora@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,1,2514,358271,5,S,19950101,,,,,,,,,,,,,,,,,,,,3680367,N,1,1,20050101,8,2,Aurora,16,,,,,,,,,,,,,,,,,
João Pedro Almeida,32651094293,PE,20160101,20260723,1,ATIVO,79661163,Travessa dos Pioneiros,1979,Bela Vista,Recife,,66,35196561,67,979698324,joao.pedro.almeida@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,104,5030,528030,1,S,19900101,19870823,M,2,1,203407365,SSP,20100101,PE,5,2,Mãe de João,,,,1,10,4,N,1,,,,,,,,,,2,PROFESSOR,20180101,16513.10,6985.99,1,1,1,75478175,Rua das Acácias,153,Vila Nova,Recife,PE,Referência de João,96,27069020
Litoral Turismo e Eventos SA,54484350000108,PA,20110101,20260723,1,ATIVO,92550432,Travessa dos Pioneiros,2856,Vila Nova,Belém,,38,2197439670,30,945482319,litoral@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,104,5319,792668,8,S,19950101,,,,,,,,,,,,,,,,,,,,3202311,M,3,2,20110101,2,1,Litoral,292,,,,,,,,,,,,,,,,,
Vanessa Lopes Correia,77215610780,CE,20100101,20260723,1,ATIVO,35748144,Rua Sete de Setembro,3757,Vila Nova,Fortaleza,,18,21533721,27,953228268,vanessa.lopes.correi@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,33,6472,425261,4,S,19900101,19620426,F,6,1,112631595,SSP,20100101,CE,1,1,Mãe de Vanessa,,,,1,2,0,N,1,,,,,,,,,,6,ENGENHEIRO,20180101,15451.26,19930.59,1,1,1,66931927,Travessa dos Pioneiros,225,Industrial,Fortaleza,CE,Referência de Vanessa,65,39382252
Lucas Aparecido Melo,91582005095,PR,20110101,20260723,1,ATIVO,99478943,Avenida Brasil,677,Industrial,Curitiba,,85,25579872,20,995316126,lucas.aparecido.melo@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,237,558,416291,7,S,19900101,19750126,M,1,1,219504347,SSP,20100101,PR,3,2,Mãe de Lucas,,,,1,20,3,N,1,,,,,,,,,,1,ANALISTA,20180101,4751.93,5627.66,1,1,1,22261678,Avenida Paulista,581,Industrial,Curitiba,PR,Referência de Lucas,87,32539451
Delta Engenharia e Projetos SA,93106282000197,PA,20110101,20260723,1,ATIVO,65317310,Travessa dos Pioneiros,3058,Jardim América,Belém,,13,3985042386,40,937665581,delta@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,33,7239,551907,2,S,19950101,,,,,,,,,,,,,,,,,,,,1904563,N,1,1,20110101,11,1,Delta,17,,,,,,,,,,,,,,,,,
Litoral Turismo e Eventos SA,40168585000178,BA,20100101,20260723,1,ATIVO,93742041,Travessa dos Pioneiros,3950,Bela Vista,Salvador,,30,2301989615,97,942985558,litoral@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,33,6575,195782,3,S,19950101,,,,,,,,,,,,,,,,,,,,3289459,N,3,3,20100101,7,1,Litoral,458,,,,,,,,,,,,,,,,,
Estrela Confecções Têxteis LTDA,19464249000186,PE,20040101,20260723,1,ATIVO,43146261,Rua Sete de Setembro,2756,Jardim América,Recife,,57,3972113610,44,964181852,estrela@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,1,2468,191356,9,S,19950101,,,,,,,,,,,,,,,,,,,,651981,N,4,3,20040101,8,1,Estrela,445,,,,,,,,,,,,,,,,,
Lucas Aparecido Melo,21844755720,SP,20080101,20260723,1,ATIVO,85492132,Alameda Santos,2243,Bela Vista,São Paulo,,35,20556550,92,904083848,lucas.aparecido.melo@exemplo.test.br,1,0,S,1,1,XX,1,Casa,1,,,,,,,IN,33,8377,470940,1,S,19900101,19950714,F,2,1,609412780,SSP,20100101,SP,1,1,Mãe de Lucas,,,,1,9,0,N,1,,,,,,,,,,2,MEDICO,20180101,14465.11,14344.14,8,1,1,72901889,Rua das Acácias,1363,Boa Vista,São Paulo,SP,Referência de Lucas,38,36096572
Isabela Nogueira Freitas,72434948707,PA,20200101,20260723,1,ATIVO,75020083,Rua das Acácias,78,Jardim América,Belém,,19,22124951,78,975709176,isabela.nogueira.fre@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,237,4763,396162,5,S,19900101,19640328,F,1,1,388713863,SSP,20100101,PA,3,1,Mãe de Isabela,,,,1,10,1,N,1,,,,,,,,,,1,ADVOGADO,20180101,4469.03,15876.40,2,1,1,34170149,Avenida Brasil,690,Vila Nova,Belém,PA,Referência de Isabela,41,22726143
Thiago Ramos Azevedo,24038499600,GO,20110101,20260723,1,ATIVO,92267577,Travessa dos Pioneiros,2175,Boa Vista,Goiânia,,34,20190920,38,920551371,thiago.ramos.azevedo@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,33,5976,299881,8,S,19900101,19730927,F,1,1,112430134,SSP,20100101,GO,3,2,Mãe de Thiago,,,,1,3,1,N,1,,,,,,,,,,1,MEDICO,20180101,13268.65,4793.29,5,1,1,62079497,Rua das Acácias,3100,Vila Nova,Goiânia,GO,Referência de Thiago,98,28377418
João Pedro Almeida,62394952202,MG,20130101,20260723,1,ATIVO,67543447,Avenida Paulista,1226,Jardim América,Belo Horizonte,,79,21498873,27,996583229,joao.pedro.almeida@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,104,1703,250254,1,S,19900101,19880511,M,6,1,721748280,SSP,20100101,MG,4,1,Mãe de João,,,,1,8,2,N,1,,,,,,,,,,6,GERENTE,20180101,20663.67,11347.04,1,1,1,48214198,Rua XV de Novembro,1223,Jardim América,Belo Horizonte,MG,Referência de João,81,24669282
Mariana Ribeiro Santos,54132133796,MG,20170101,20260723,1,ATIVO,11485010,Rua do Comércio,1316,Centro,Belo Horizonte,,44,36874723,33,959951925,mariana.ribeiro.sant@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,1,9489,131496,2,S,19900101,19920116,F,6,1,173963093,SSP,20100101,MG,5,2,Mãe de Mariana,,,,1,4,3,N,1,,,,,,,,,,6,ENGENHEIRO,20180101,6655.64,17870.67,1,1,1,78853981,Rua XV de Novembro,420,Bela Vista,Belo Horizonte,MG,Referência de Mariana,90,21226696
Delta Engenharia e Projetos SA,8871919700016499,BA,20080101,20260723,1,ATIVO,19154540,Alameda Santos,2179,Jardim América,Salvador,,97,2040935516,27,996130275,delta@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,237,5766,112439,3,S,19950101,,,,,,,,,,,,,,,,,,,,714165,E,1,3,20080101,2,2,Delta,117,,,,,,,,,,,,,,,,,
Estrela Confecções Têxteis LTDA,27617778000109,PR,20080101,20260723,1,ATIVO,93375705,Avenida Paulista,1298,Boa Vista,Curitiba,,34,3738506079,72,955265510,estrela@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,341,6277,694630,9,S,19950101,,,,,,,,,,,,,,,,,,,,3610464,M,3,3,20080101,3,1,Estrela,159,,,,,,,,,,,,,,,,,
João Pedro Almeida,68420754676,BA,20050101,20260723,1,ATIVO,14507497,Alameda Santos,318,Boa Vista,Salvador,,41,33182578,43,991509699,joao.pedro.almeida@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,1,3279,266066,8,S,19900101,19610419,F,6,1,712071085,SSP,20100101,BA,5,2,Mãe de João,,,,1,4,3,N,1,,,,,,,,,,6,GERENTE,20180101,21395.54,17369.64,9,1,1,10321907,Avenida Brasil,3414,Bela Vista,Salvador,BA,Referência de João,49,21334476
Camila Ferreira Nunes,77927726595,PE,20130101,20260723,1,ATIVO,68409703,Rua XV de Novembro,2414,Industrial,Recife,,64,24464852,21,941991549,camila.ferreira.nune@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,341,4936,27924,7,S,19900101,19780124,F,2,1,564518690,SSP,20100101,PE,4,2,Mãe de Camila,,,,1,5,0,N,1,,,,,,,,,,2,PROFESSOR,20180101,7239.96,9516.76,8,1,1,68632305,Travessa dos Pioneiros,2242,Bela Vista,Recife,PE,Referência de Camila,65,32120056
Ipê Materiais de Construção LTDA,75763647000174,SP,20000101,20260723,1,ATIVO,25193912,Rua das Acácias,1558,Boa Vista,São Paulo,,32,3295984268,65,947095584,ipe@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,237,9036,69071,5,S,19950101,,,,,,,,,,,,,,,,,,,,3848303,X,1,1,20000101,9,1,Ipê,467,,,,,,,,,,,,,,,,,
Cordilheira Logística e Transportes LTDA,74442485000100,BA,20140101,20260723,1,ATIVO,22820733,Avenida Brasil,2235,Bela Vista,Salvador,,78,2902115822,17,929554799,cordilheira@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,237,5730,803807,3,S,19950101,,,,,,,,,,,,,,,,,,,,1720251,E,3,1,20140101,10,1,Cordilheira,33,,,,,,,,,,,,,,,,,
Cordilheira Logística e Transportes LTDA,95950599000130,RJ,20060101,20260723,1,ATIVO,37566134,Rua Sete de Setembro,1252,Industrial,Rio de Janeiro,,19,3407310069,62,954257738,cordilheira@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,341,8595,660748,1,S,19950101,,,,,,,,,,,,,,,,,,,,2127584,N,2,3,20060101,2,2,Cordilheira,99,,,,,,,,,,,,,,,,,
Girassol Agroindústria LTDA,92530908000125,SP,20120101,20260723,1,ATIVO,46639897,Rua Sete de Setembro,943,Vila Nova,São Paulo,,48,3806115389,93,916061556,girassol@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,237,6779,647466,6,S,19950101,,,,,,,,,,,,,,,,,,,,1623493,M,1,3,20120101,8,1,Girassol,249,,,,,,,,,,,,,,,,,
Litoral Turismo e Eventos SA,26427339000162,GO,20040101,20260723,1,ATIVO,20712941,Rua das Acácias,1891,Boa Vista,Goiânia,,66,3018104076,68,965165495,litoral@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,104,8525,566726,3,S,19950101,,,,,,,,,,,,,,,,,,,,1781481,E,1,1,20040101,9,2,Litoral,177,,,,,,,,,,,,,,,,,
Kalunga Distribuidora de Peças LTDA,47761940000167,BA,20060101,20260723,1,ATIVO,67728905,Alameda Santos,1423,Boa Vista,Salvador,,18,3684269965,43,986019361,kalunga@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,104,50,493987,3,S,19950101,,,,,,,,,,,,,,,,,,,,3015319,E,9,3,20060101,11,2,Kalunga,201,,,,,,,,,,,,,,,,,
Gustavo Henrique Faria,26093801276,PE,20150101,20260723,1,ATIVO,88787143,Rua do Comércio,597,Boa Vista,Recife,,96,38257668,83,943596708,gustavo.henrique.far@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,237,361,859349,1,S,19900101,19810317,F,1,1,411549762,SSP,20100101,PE,1,2,Mãe de Gustavo,,,,1,10,2,N,1,,,,,,,,,,1,GERENTE,20180101,22465.30,10358.02,6,1,1,14527322,Travessa dos Pioneiros,1378,Industrial,Recife,PE,Referência de Gustavo,92,38102560
Fernanda Oliveira Costa,47681581960,PE,20100101,20260723,1,ATIVO,83406202,Rua do Comércio,871,Centro,Recife,,48,34851683,18,911632183,fernanda.oliveira.co@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,341,6855,279217,8,S,19900101,19660316,F,6,1,349411535,SSP,20100101,PE,2,2,Mãe de Fernanda,,,,1,2,3,N,1,,,,,,,,,,6,GERENTE,20180101,15172.15,12909.12,8,1,1,14903990,Rua XV de Novembro,1375,Centro,Recife,PE,Referência de Fernanda,77,29411876
Kalunga Distribuidora de Peças LTDA,50875610000107,CE,20040101,20260723,1,ATIVO,60300766,Avenida Paulista,3985,Vila Nova,Fortaleza,,13,2137123636,89,972634601,kalunga@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,237,7215,953724,6,S,19950101,,,,,,,,,,,,,,,,,,,,384226,N,1,2,20040101,4,1,Kalunga,432,,,,,,,,,,,,,,,,,
Jacarandá Móveis Planejados ME,43341574000136,PA,20060101,20260723,1,ATIVO,58819937,Avenida Brasil,3247,Vila Nova,Belém,,67,3725379706,26,986645022,jacaranda@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,1,8141,464983,5,S,19950101,,,,,,,,,,,,,,,,,,,,1824830,N,1,1,20060101,6,3,Jacarandá,436,,,,,,,,,,,,,,,,,
Patrícia Cardoso Pinto,24356470184,PR,20230101,20260723,1,ATIVO,90855298,Avenida Brasil,3890,Boa Vista,Curitiba,,92,37096841,77,902631938,patricia.cardoso.pin@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,1,47,360241,3,S,19900101,20010324,M,1,1,273339313,SSP,20100101,PR,1,1,Mãe de Patrícia,,,,1,8,1,N,1,,,,,,,,,,1,MEDICO,20180101,2977.26,9270.95,9,1,1,54095097,Travessa dos Pioneiros,3251,Bela Vista,Curitiba,PR,Referência de Patrícia,42,36232960
Girassol Agroindústria LTDA,61752868000132,CE,20030101,20260723,1,ATIVO,66525487,Travessa dos Pioneiros,3477,Vila Nova,Fortaleza,,16,2626835882,39,920427930,girassol@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,237,2557,361354,3,S,19950101,,,,,,,,,,,,,,,,,,,,4173560,E,1,2,20030101,8,1,Girassol,489,,,,,,,,,,,,,,,,,
Felipe Andrade Moura,99038481705,BA,20150101,20260723,1,ATIVO,76858458,Rua Sete de Setembro,130,Jardim América,Salvador,,29,28146486,26,973046723,felipe.andrade.moura@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,33,9799,716598,0,S,19900101,20000822,F,5,1,315872979,SSP,20100101,BA,5,2,Mãe de Felipe,,,,1,5,2,N,1,,,,,,,,,,5,GERENTE,20180101,3415.84,13042.25,5,1,1,90124460,Travessa dos Pioneiros,3486,Bela Vista,Salvador,BA,Referência de Felipe,33,36525518
Girassol Agroindústria LTDA,50027455000179,RJ,20040101,20260723,1,ATIVO,77523219,Rua XV de Novembro,2224,Industrial,Rio de Janeiro,,85,2315635442,51,986328721,girassol@exemplo.test.br,23,0,S,1,1,,,,,,,,,,,IN,104,5263,713938,7,S,19950101,,,,,,,,,,,,,,,,,,,,2989240,E,1,1,20040101,99,2,Girassol,370,,,,,,,,,,,,,,,,,
Patrícia Cardoso Pinto,10461854970,RS,20220101,20260723,1,ATIVO,65629787,Rua das Acácias,1349,Jardim América,Porto Alegre,,91,38288505,16,997762242,patricia.cardoso.pin@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,341,9024,847823,1,S,19900101,19640824,M,1,1,316355159,SSP,20100101,RS,2,1,Mãe de Patrícia,,,,1,7,2,N,1,,,,,,,,,,1,ANALISTA,20180101,16826.32,18333.07,6,1,1,28288706,Rua do Comércio,1864,Jardim América,Porto Alegre,RS,Referência de Patrícia,24,35964131
Fernanda Oliveira Costa,92773206215,PA,20140101,20260723,1,ATIVO,99596574,Alameda Santos,586,Centro,Belém,,97,39457883,42,908689260,fernanda.oliveira.co@exemplo.test.br,1,0,S,1,1,,,,,,,,,,,IN,1,2175,464976,0,S,19900101,19990222,F,6,1,737480509,SSP,20100101,PA,4,1,Mãe de Fernanda,,,,1,5,3,N,1,,,,,,,,,,6,PROFESSOR,20180101,10981.23,11010.76,8,1,1,60734133,Alameda Santos,1197,Jardim América,Belém,PA,Referência de Fernanda,38,22688741
